

小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,16,西南风,2,0,69,
18,17,西南风,2,0,63,27
17,18,西北风,2,0,57,30
16,17,北风,2,0,65,30
15,17,西北风,2,0,62,28
14,16,北风,2,0,66,27
13,17,西北风,3,0,66,25
12,16,西风,2,0,69,25
11,15,西风,3,0,77,23
10,13,西北风,2,0.9,95,21
09,13,西风,2,0,97,19
08,12,西风,2,0.5,91,19
07,11,西风,2,0.4,100,18
06,11,西南风,2,0.3,100,21
05,11,西风,2,0,100,23
04,11,西风,2,0,100,24
03,11,西风,2,0,100,24
02,11,西风,2,0.3,100,25
01,11,西南风,2,1.4,100,25
00,12,西南风,2,0,95,24
23,12,西南风,2,0,95,22
22,12,西南风,2,0.1,80,23
21,12,西南风,2,0.0,85,20
20,12,西南风,2,0.0,79,19
